last_work_place;count
Сбербанк;129
Банк ВТБ (ПАО);28
МАГНИТ, Розничная сеть;26
Тинькофф Банк;22
Альфа-Банк (Россия);19
Мобильные ТелеСистемы (МТС);16
Национальный исследовательский университет «Высшая школа экономики»;14
Ростелеком;13
EY Russia;12
Шлюмберже, нефтяная сервисная компания;12
KPMG ;11
Deloitte;11
X5 RETAIL GROUP;11
Банк Хоум Кредит;10
Газпром нефть, ПАО;10
Газпромбанк, ОАО;10
Московский аэропорт Домодедово;10
Россельхозбанк;10
МегаФон;10
PwC;10
Почта России;9
Спортмастер Россия;9
PROFI.RU;8
Яндекс.Практикум;8
Евразийский банк, АО;8
EPAM Systems Inc (Беларусь);8
Лента, федеральная розничная сеть;7
Промсвязьбанк, ПАО;7
ИП;6
Московский Кредитный Банк;6
AIR ASTANA, АО;6
Объединенные кондитеры;6
KPMG (Москва);6
АТФБанк, АО;6
KPMG (Казахстан);6
OZON.ru, Интернет-магазин;6
РОСБАНК;6
ЭР-Телеком Холдинг, ЗАО;5
Citibank;5
Госкорпорация Росатом;5
Philip morris international;5
O'STIN;5
Яндекс;5
Финансовая корпорация Открытие;5
ПАО Сбербанк России;5
Kaspi Bank, АО;5
Mail.Ru Group;5
Raiffeisenbank;5
PricewaterhouseCoopers (Казахстан);5
ВТБ;5
Галактика;5
РТ Лабс, ОАО;5
NetCracker Technology Corp. (Россия);5
Розничная сеть МТС;4
EY;4
Procter & Gamble;4
ДИКСИ, группа компаний;4
ПАО Сбербанк;4
Министерство Обороны РФ;4
Вооруженные силы РФ;4
М.Видео-Эльдорадо;4
Связной;4
KPMG;4
Пепсико Россия;4
FIRCROFT ENGINEERING SERVICES LIMITED, KAZAKHSTAN;4
Российские железные дороги;4
EY Kazakhstan;4
RENAULT;4
InStat;4
MAGNUM, ТОО;4
Prime Source, ТОО;4
SkyEng;4
СИБУР, Группа компаний;4
Самозанятый;4
Народный банк Казахстана, АО;4
О’КЕЙ – Федеральная розничная сеть;4
METRO Cash & Carry;4
Билайн;4
Правительство Москвы;3
Санкт-Петербургский государственный университет;3
BI-Group, ТМ;3
КОРУС Консалтинг;3
Lamoda;3
Дочки & Сыночки, сеть супермаркетов;3
ИНЖИНИРИНГОВАЯ КОМПАНИЯ «АСЭ»;3
БИОКАД, фармацевтическая компания;3
Брокеркредитсервис;3
КБ Стрелка;3
Вайлдберриз, ООО;3
AXELOT;3
ООО;3
EPAM Systems Inc. (Россия);3
888.ru;3
Федеральная налоговая служба (ФНС России);3
Слетать.ру;3
Банк Санкт-Петербург, ОАО;3
Альфа-Банк (Казахстан);3
Локомотивные технологии, ООО;3
Связь-Банк, АКБ;3
Nazarbayev University;3
Сбербанк России;3
ОТП Банк, ОАО (OTP bank);3
Mars;3
Московский государственный университет им. М.В. Ломоносова;3
Группа Компаний РУСАГРО, ООО;3
Телеканал Россия, ГТК;3
McKinsey & Company;3
SGS Vostok Limited;3
БАРС Груп;3
БДО;3
Такском, ООО;3
АО Почта России;3
РИА Новости;3
Первая Экспедиционная Компания;3
Частная практика;3
Корпорация Галактика;3
Интроверт;3
Тенгизшевройл;3
Моор Стивенс;3
Лига Цифровой Экономики;3
S7 Technics LLC;2
АО Банк Интеза;2
"АО ""Кондопога»";2
ГАЗЕЛЬКИН, грузовая компания, ООО;2
Московский государственный технический университет им. Н.Э. Баумана;2
Госсектор;2
Банк Восточный;2
КонсультантПлюс;2
ПЕНОПЛЭКС;2
Белгазпромбанк;2
Forte Bank;2
"ООО «Новый Ресурс», Киев, Официальный дистрибьютор коммерческих автошин Goodyear, Dunlop, Michelin, Doublestar и др.; организация комплектации и сервисного обслуживания коммерческих автомобилей";2
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РАЙФФАЙЗЕНБАНК""";2
Разные организации - от стартапов до лидеров отрасли.;2
"ООО ""Сбербанк-Сервис""";2
Онлайн-университет Skillbox;2
LG Electronics RUS;2
Букмекерская контора 888.ru;2
МСП Банк;2
The Boston Consulting Group;2
ООО МКК Агора;2
"""Mobex""";2
Яндекс.Еда;2
TELE2 Россия;2
Оптовик, ООО;2
"ЗАО ""Джи Эм-АВТОВАЗ""";2
ПАО «Сбербанк»;2
HeadHunter;2
"ООО ""Аэрохендлинг"" ( Киев, Борисполь)";2
Renaissance Capital;2
Kredito24;2
Софиа Палс;2
BILLA Russia;2
Внешэкономбанк;2
Национальные информационные технологии, АО;2
RITZIO;2
ПартКом, ООО;2
ООО Престиж Клаб;2
ГрузовичкоФ;2
BOSCH;2
Российский химико-технологический университет им. Д.И. Менделеева;2
Комус;2
Группа «Илим»;2
Deloitte, Caspian Region;2
Crafers;2
"ООО ""Газпромнефть - Цифровые решения""";2
"ООО ""Арт-Ти""";2
JTI;2
Self-employed;2
Монополия;2
Первый БИТ;2
ФИНАМ;2
ИТ-Контур;2
Forex;2
Fundacja Dobra Wola;2
ForteBank;2
ВТБ Капитал;2
НИИЦ г. Курск, ФГУП «18 ЦНИИ» МО РФ (научно-исследовательский институт);2
Люксофт;2
ООО Бариант;2
Агент;2
Утконос, онлайн-магазин;2
Sberbank;2
OOO Saga Impex;2
QBG PARTNERS;2
ГБУЗ МДГКБ ДЗМ;2
Максидом;2
"ООО ""ЭЛЕМЕНТАЛ ИНВЕСТМЕНТС""";2
Московская Объединенная Энергетическая Компания;2
KAZ Minerals;2
MICROSOFT Corporation;2
Сбербанк-Сервис;2
"ООО ""Газпром центрремонт""";2
