title	href	last_work_plase	count
Контент-менеджер, SEO-копирайтер	/resume/83b80647000207fafd0039ed1f613278383979?hhtmFrom=resume_search_result	"ООО ""Кораблик-Р"""	1.0
 UX UI дизайнер	/resume/d65527fd000407fd190039ed1f393639565568?hhtmFrom=resume_search_result	СОЮЗПАК, МПФ, ООО	1.0
Frontend-разработчик	/resume/f3861e99000500e4300039ed1f4a54464f4234?hhtmFrom=resume_search_result	Индивидуальное предпринимательство / частная практика / фриланс	177.0
Специалист технической поддержки	/resume/e43c9f5800056c1a550039ed1f4d4f78426a42?hhtmFrom=resume_search_result	Софт Компани	2.0
Менеджер по работе с ключевыми клиентами/Key Account Manager/KAM	/resume/88615e580006803b7b0039ed1f5a4237496872?hhtmFrom=resume_search_result	Greenworks	2.0
Системный администратор	/resume/70068df3000728891c0039ed1f475039643275?hhtmFrom=resume_search_result	ООО Юстас	1.0
Консультант - Аналитик 1С	/resume/fb3ae5470007fab8230039ed1f77504b7a6f47?hhtmFrom=resume_search_result	Стелла груп Рус	2.0
IT-специалист	/resume/05a557350001b0661d0039ed1f4e5a66593043?hhtmFrom=resume_search_result	Аккую нуклеар	2.0
Интернет-маркетолог	/resume/22fb4b4f0004217eec0039ed1f4853514f646a?hhtmFrom=resume_search_result	"ООО ""NSTR RT"""	2.0
Инженер	/resume/5e1ac4c20002b9bdae0039ed1f305368425941?hhtmFrom=resume_search_result	Московский метрополитен, Государственное унитарное предприятие	3.0
Начальник (зам. начальника) отдела	/resume/f432d9cd0001ac543d0039ed1f47743565464e?hhtmFrom=resume_search_result	"АО ""ЭВРИКА"" (Поставка, пуско-наладка, сервисное обслуживание и ремонт IT-оборудования)"	2.0
Менеджер проектов	/resume/8618a4500007bf041a0039ed1f6d614b506965?hhtmFrom=resume_search_result	Райден	3.0
Аналитик бизнес-процессов	/resume/fdce14250001c63f3a0039ed1f69554a4b5547?hhtmFrom=resume_search_result	"АО ""Отрадненский ГПЗ"""	3.0
Руководитель отдела ИТ	/resume/57733393000689a82a0039ed1f785252714d46?hhtmFrom=resume_search_result	"ООО ""Аэропорт Девелопмент"""	3.0
Руководитель проектов	/resume/2ec92a100000e578460039ed1f423469323554?hhtmFrom=resume_search_result	"ООО ""ИНВЕСТ ХОККЕЙ"""	2.0
Service engineer	/resume/13ba16e100022340fd0039ed1f41643163344c?hhtmFrom=resume_search_result	ОАО ИИХР	2.0
Помощник мастера по ремонту пк	/resume/153a172c00072a31e10039ed1f514978724779?hhtmFrom=resume_search_result	МЦКО	2.0
Руководитель группы анализа	/resume/3ef2d32400006d5cbb0039ed1f736563726574?hhtmFrom=resume_search_result	"ООО «Газпромнефть - Корпоративные продажи"". Обеспечение безналичного расчета по сервисным картам для b2b клиентов, позволяющим приобрести топливо, услуги и иные сопутствующие товары не АЗС."	2.0
Инженер АСУ	/resume/3b5005c200001746110039ed1f736563726574?hhtmFrom=resume_search_result	МИП-Строй№1 (МОСИНЖПРОЕКТ)	2.0
Директор департамента управления проектами	/resume/980c36f50000a158ae0039ed1f736563726574?hhtmFrom=resume_search_result	INTACT	2.0
Системный администратор	/resume/76de2d500001d152ea0039ed1f71655632686c?hhtmFrom=resume_search_result	АО Денвью Лимитед	2.0
Верстальщик	/resume/a6ce2360000353e62d0039ed1f6d38316f5876?hhtmFrom=resume_search_result	Рекламно-издательская компания	2.0
Level Designer	/resume/b72965a700079a388b0039ed1f4e35776a5332?hhtmFrom=resume_search_result		
Pre Sales engineer	/resume/66116b9e0007378f910039ed1f516b6b58674c?hhtmFrom=resume_search_result	"ООО ""Рэдком"" (Группа компаний РЕGАРД)"	1.0
Директор/Руководитель службы качества	/resume/3252862300064a6cbf0039ed1f42504b424867?hhtmFrom=resume_search_result	"ООО ""НВК ""Космософт"""	1.0
Аналитик 1С	/resume/2cdfb5bf0000765d410039ed1f736563726574?hhtmFrom=resume_search_result	Сбербанк-Сервис	9.0
Бизнес-аналитик	/resume/da7966090007797db20039ed1f7342324a3974?hhtmFrom=resume_search_result	Группа компаний Мать и дитя	1.0
Аналитик	/resume/063298d20005f63c330039ed1f4c4f56334858?hhtmFrom=resume_search_result	Тетрика	1.0
Инженер отдела информационных технологий	/resume/9e4af86b0003b3651d0039ed1f544877706164?hhtmFrom=resume_search_result	Уфимское моторостроительное производственное объединение (УМПО)	1.0
Системный администратор	/resume/823cad4a0003789fb40039ed1f473444425466?hhtmFrom=resume_search_result	Фабрика инновационных технологий	1.0
