title	href	count
Технический директор / Руководитель отдела разработки / Директор проектов	https://hh.ru/resume/e18bbce70007f1024d0039ed1f4d356d396379?hhtmFrom=resume_search_result	1.0
Data Scientist	https://hh.ru/resume/64bc9b430007f18b780039ed1f4555504d6444?hhtmFrom=resume_search_result	1.0
Менеджер интернет-магазина	https://hh.ru/resume/42985f800005c6723f0039ed1f47304a4e4851?hhtmFrom=resume_search_result	1.0
Программист .Net / С#	https://hh.ru/resume/43587b8e0005f544f50039ed1f6c7165775851?hhtmFrom=resume_search_result	1.0
2D Аниматор (перекладка)	https://hh.ru/resume/e653c3f10002a0373f0039ed1f367a31475652?hhtmFrom=resume_search_result	1.0
Руководитель IT	https://hh.ru/resume/7280847700035e955e0039ed1f7865334e4f4d?hhtmFrom=resume_search_result	1.0
Программист Python / Automation QA Engineer / Тестировщик Ruby	https://hh.ru/resume/7af51dc6000750b2c70039ed1f426a35314e48?hhtmFrom=resume_search_result	1.0
Технический эксперт, инженер, преподаватель	https://hh.ru/resume/085d3b280007f1860c0039ed1f466272597152?hhtmFrom=resume_search_result	1.0
Системный инженер / Системный администратор	https://hh.ru/resume/225effdf0007e4c9f80039ed1f434767747352?hhtmFrom=resume_search_result	1.0
Руководитель департамента ИТ	https://hh.ru/resume/6fe3804b00057061bf0039ed1f74363155536d?hhtmFrom=resume_search_result	1.0
Тестировщик	https://hh.ru/resume/2a2f806d0007f5afe30039ed1f62736b78577a?hhtmFrom=resume_search_result	1.0
Руководитель проектов / Project manager	https://hh.ru/resume/3eae512300078be81f0039ed1f4d50444e4c66?hhtmFrom=resume_search_result	1.0
Таргетолог	https://hh.ru/resume/db82cc9f0007f7034e0039ed1f58594e666355?hhtmFrom=resume_search_result	1.0
Директор по эксплуатации, Заместитель генерального директора по эксплуатации и технической политике	https://hh.ru/resume/9e55af8b0002a927620039ed1f4267536b7577?hhtmFrom=resume_search_result	1.0
Процессный инженер/Ресурсный менеджер/Руководитель отдела/Менеджер по качеству/Test Manager/QA	https://hh.ru/resume/e6b161430000ab1d8d0039ed1f736563726574?hhtmFrom=resume_search_result	1.0
Менеджер по спецпроектам	https://hh.ru/resume/abd613a30007eefd7b0039ed1f49726a665937?hhtmFrom=resume_search_result	1.0
Котлин-программист	https://hh.ru/resume/2597e4f100075f28ab0039ed1f7243654a5a75?hhtmFrom=resume_search_result	1.0
Системный администратор	https://hh.ru/resume/d2a6969f00027d957c0039ed1f4f6d4a65554a?hhtmFrom=resume_search_result	1.0
Руководитель отдела ИТ	https://hh.ru/resume/acc08ca40002471f8a0039ed1f5961476d4975?hhtmFrom=resume_search_result	1.0
Специалист по информационной безопасности	https://hh.ru/resume/19b626b30007d04cf80039ed1f4f534a674550?hhtmFrom=resume_search_result	
