last_work_place;count
Сбербанк;32
Банк ВТБ (ПАО);14
Альфа-Банк (Россия);8
Газпромбанк, ОАО;7
Россельхозбанк;6
Сбербанк России;5
Тинькофф Банк;5
Брокеркредитсервис;5
Почта России;3
Финансовая корпорация Открытие;3
Промсвязьбанк, ПАО;3
Raiffeisenbank;3
ЛОКО-БАНК;3
Deloitte;3
Московский Кредитный Банк;3
БАНК УРАЛСИБ;3
Carcade Leasing;2
Bank of America Merrill Lynch;2
Внешэкономбанк;2
HSBC Bank (RR);2
М.Видео-Эльдорадо;2
ИК Синергия капитал;2
Компания по управлению кредитными рисками «Experian»;2
"ООО ""Строительная компания ""СибЛидер""";2
Банк Хоум Кредит;2
EY Russia;2
VTB Capital;2
Зетта Страхование;2
Топ 5 банков;2
Банк Русский Стандарт;2
Работа в финансовых организациях (банк и лизинговая компания);2
Керхер, ООО;2
Департамент цен и тарифов администрации области;2
ЭмпайрКлаб;2
ПАО Сбербанк России;2
"ООО ""Шереметьево-ВИП""";2
KPMG ;2
Gallery;2
Почта Банк;2
ВТБ Капитал;2
ООО «КОМПАНИЯ «ПРИМУЛА», г. Кемерово;2
Forex;2
ТРАСТ, Национальный банк;2
Petris engineering rus;2
Мобильные ТелеСистемы (МТС);2
Банк Восточный;2
Sberbank CIB;2
AVanTrust Investments | FOREX-X | MQL-5;2
РОСБАНК;2
Banca Intesa Russia;2
"ООО ""Димер-ТМ""";2
bank of  america;2
ик финам;1
Недвижимость Москвы;1
Объединенные кондитеры;1
"ООО ""Авиакомпания AirBridgeCargo""";1
Технолизинг, ТОО;1
"ООО Торговый Дом ""Дом""";1
"ООО ""Информационное агентство ""Банки.ру""";1
Mizuho Corporate Bank (Moscow), ZAO;1
Altergate^;1
Звукорежиссёр;1
"Nepresso "" Nestle""";1
"ООО ""Внуково-управление активами""";1
United Colors of Benetton, Sisley;1
"АНО ""АКАДЕМИЯ ОЦЕНКИ ИНВЕСТИЦИЙ И БИЗНЕСА"" (г.Москва)";1
ООО Consulting Group;1
Matrix Capital Advisors;1
Bank of Russia;1
Российский химико-технологический университет им. Д.И. Менделеева;1
Fosun Eurasia Capital;1
Dkschool;1
Refalco Group ( Investment Fund);1
Joint -Stock Company “Channel one Russia”;1
Lyxor Asset Management - УК Société Générale (Отдел маркетинга и стратегического развития), Париж (Франция);1
Ninja Trader Brokerage;1
天才职员;1
EPL Diamond;1
Лизинговая компания;1
JamilCo;1
ООО МКК Марка;1
Минфин России;1
ВТБ,SAXO BANK.;1
"ООО ""РКК""";1
Vortex Web;1
Bank VTB;1
Yandex;1
Московский государственный университет им. М.В. Ломоносова;1
LATOKEN;1
АО КБ «Соколовский»;1
ПАО АКБ «Связь-Банк»;1
