last_work_place;count
Сбербанк;36
Тинькофф Банк;12
Мобильные ТелеСистемы (МТС);8
МАГНИТ, Розничная сеть;8
X5 RETAIL GROUP;8
Альфа-Банк (Россия);7
МегаФон;7
Банк ВТБ (ПАО);6
PwC;5
Такском, ООО;5
Mail.Ru Group;5
РТ Лабс, ОАО;4
Спортмастер Россия;4
Яндекс.Практикум;4
Яндекс;4
Ростелеком;4
Билайн;4
Национальный исследовательский университет «Высшая школа экономики»;3
М.Видео-Эльдорадо;3
Московский Кредитный Банк;3
Банк Хоум Кредит;3
НИИ «Восход»;3
Газпромбанк, ОАО;3
RENAULT;3
888.ru;3
NetCracker Technology Corp. (Россия);3
UniCredit Bank(на аутсорсинге от компании Урфин);2
Макдоналдс;2
Комус;2
Accenture;2
Московский физико-технический институт (Государственный университет);2
Проектный фриланс;2
Департамент информационных технологий города Москвы ;2
СТОУН-XXI;2
Первый БИТ;2
Лига Цифровой Экономики;2
AIC;2
ТЕХНОСЕРВ;2
"ООО ""Альтаир""";2
Ингосстрах;2
WSS-Consulting;2
Корпорация Галактика;2
Ватком;2
Яндекс Практикум;2
City Nature (e-commerce);2
amoCRM;2
Ralf Ringer;2
Объединенные кондитеры;2
"ООО ""БК Фаворит»";2
Министерство Обороны РФ;2
Ттехнологическая компания;2
Пепсико Россия;2
Procter & Gamble;2
Московская Объединенная Энергетическая Компания;2
Гулливер и Ко, ТД;2
Согласие, страховая компания;2
Совкомбанк;2
KPMG ;2
БДО;2
"ПАО ""Ростелеком""";2
"ООО ""Сигма""";2
ИТ-Контур;2
РУСГИС;2
"ООО ""МЕЛНИС И ПАРТНЕРЫ""";2
Связь-Банк, АКБ;2
Госсектор;2
Галактика;2
8bit group;2
"АО ""Промэлектромонтаж""";2
"ООО ""Организационно-технологические решения 2000""";2
Philip morris international;2
Промсвязьбанк, ПАО;2
ИНЖИНИРИНГОВАЯ КОМПАНИЯ «АСЭ»;2
OZON.ru, Интернет-магазин;2
Coca-Cola HBC Russia;2
PROFI.RU;2
ЦМД софт;2
Sberbank;2
Mercury;2
Почта России;2
ООО Себрос ;1
Медиалогия;1
Sova-Capital;1
"АО ""АК Алтыналмас""";1
CJSC ACBA - Credit Agricole Bank;1
"ПАО ГК ""ТНС энерго""";1
"Systems integrator ""Information Technology Center""";1
ООО Вектор;1
Консалтинговое агентство http://rocket-systems.ru;1
Eapteka ;1
Домодедово Секьюрити Московский аэропорт;1
Первая Московская Оценочная Компания;1
KPMG (Москва);1
Рекламное агентство;1
Информационное агентство Синьхуа, Пекин;1
Российский новый университет;1
"ООО НПЦ ""Прогтехника""";1
Электронная школа Знаника;1
Санкт-Петербургский Научно-исследовательский институт Фтизиопульмонологии;1
"ООО ""Интегро""";1
Forecsys;1
"ООО ""Здоровиум""";1
"АО ""НПП ""Проект-Техника""";1
СИБИНТЕК, ООО ИК;1
"АО ""Мослифт""";1
FM Logistic;1
Мастердата;1
OOO Netkom;1
Компьютерная Академия ШАГ;1
Центр методического обеспечения оптимизации процессов государственного управления в Московской области;1
Российские железные дороги, ОАО;1
"АО ""Федеральная корпорация по развитию малого и среднего предпринимательства""";1
компания по продаже инженерного оборудования;1
KELLY IT Solutions for PepsiCo;1
ГОУ ВПО МГПУ (Московский Городской Педагогический Университет);1
Азбука вкуса;1
МСП Банк;1
NETBYNET;1
"ООО ""Trinity""";1
Argumet;1
ОАО Акрихин;1
"ООО ""ПлэйТудэй""";1
Директ Кредит, ООО;1
АВТОМИР, ГК;1
АРинтег;1
DeepHouse;1
"ООО ""ИТ-Эксперт""";1
ООО Консул Групп-право;1
Мосинжпроект, ОАО;1
ООО «Смыслография»;1
ПАО МГТС;1
А-план;1
Roistat;1
ТЭК электроникс, ООО;1
THE BOSTON CONSULTING GROUP;1
ЦКР-СОТА;1
Связной;1
"ООО ""Locus-Soft-Technologiies""";1
Май, ООО;1
Фаст Продакшн;1
"ЗАО ""Элемент 5""";1
Школа 21;1
ЕМГ (Единая Медиа Группа);1
ЯНДЕКС.ПРАКТИКУМ (учеба);1
"ООО ""МЕРКУРИЙ""";1
Черкизово, Группа;1
RoPaKo;1
ООО “Коммунальные технологии” - Управление по учету энергии;1
"ООО ""Сонет"", бренд Easy4";1
"ООО ""Сириус""";1
"ООО ""ЭйТи Консалтинг""";1
Ramax international;1
LC Group;1
Cashwagon;1
КонсультантПлюс;1
Министерство образования и науки Самарской области;1
РГУ им. А.Н. Косыгина;1
Бэлл Интегратор, ООО;1
Dixons Carphone Warehouse (London, United Kingdom);1
Росжелдорпроект;1
Авилон Автомобильная Группа;1
ГазАртСтрой;1
The Russian Presidential Academy of National Economy and Public Administration;1
"ПАО ""Сбербанк Росии""";1
