last_work_place;title;href;count
Сбербанк;Аналитик;https://hh.ru/resume/5a22adbd0002a1caac0039ed1f597368525051?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA&hhtmFrom=resume_search_result;36
Сбербанк;ИТ-аналитик;https://hh.ru/resume/f2d8038f00007e75d00039ed1f736563726574?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA&hhtmFrom=resume_search_result;36
Сбербанк;Сценарист IVR/ Бизнес-аналитик;https://hh.ru/resume/2621bca60001d00f820039ed1f5a7470625463?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA&hhtmFrom=resume_search_result;36
Сбербанк;IT Product manager;https://hh.ru/resume/eedd649f00052cac000039ed1f457673356c74?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA&hhtmFrom=resume_search_result;36
Сбербанк;Аналитик данных;https://hh.ru/resume/a5008895000432e6580039ed1f6d4235687231?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA&hhtmFrom=resume_search_result;36
Сбербанк;Data analyst;https://hh.ru/resume/7d4cc59c000402ad780039ed1f5263734d6f72?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA&hhtmFrom=resume_search_result;36
Сбербанк;Руководитель направления/Аналитик;https://hh.ru/resume/23339af00003211d730039ed1f4e4751664476?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA&hhtmFrom=resume_search_result;36
Сбербанк;Аналитик SQL;https://hh.ru/resume/22d39b990007996a9c0039ed1f457779786a70?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA&hhtmFrom=resume_search_result;36
Сбербанк;Аналитик;https://hh.ru/resume/dcbb14eb000802c0a20039ed1f504770456139?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA&hhtmFrom=resume_search_result;36
Сбербанк;Бизнес Аналитик;https://hh.ru/resume/648a480a00059a89d30039ed1f314d30496b56?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA&hhtmFrom=resume_search_result;36
Сбербанк;data scientist/data engineer;https://hh.ru/resume/df10af9a00063762630039ed1f66304d754133?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA&hhtmFrom=resume_search_result;36
Сбербанк;Аналитик, дата-инженер, аудитор;https://hh.ru/resume/3e0632830002bb89440039ed1f585435684c54?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA&hhtmFrom=resume_search_result;36
Сбербанк;Product Owner/Business Manager/Project Manager;https://hh.ru/resume/add52c9b0001cd64a50039ed1f6839526d4477?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA&hhtmFrom=resume_search_result;36
Сбербанк;Ведущий аналитик / Product Owner / Project Manager;https://hh.ru/resume/678071f80003e320670039ed1f514e474e3574?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA&hhtmFrom=resume_search_result;36
Сбербанк;Аналитик Big Data;https://hh.ru/resume/5f50c6d6000321ddd50039ed1f4e5067695648?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA&hhtmFrom=resume_search_result;36
Сбербанк;Аналитик;https://hh.ru/resume/fa5090fc00077f41d00039ed1f72644e737a37?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA&hhtmFrom=resume_search_result;36
Сбербанк;Аналитик;https://hh.ru/resume/f068d4e200064239590039ed1f684878373346?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA&hhtmFrom=resume_search_result;36
Сбербанк;Руководитель направления;https://hh.ru/resume/8d49109500003b3f510039ed1f736563726574?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA&hhtmFrom=resume_search_result;36
Сбербанк;Аналитик;https://hh.ru/resume/7d0d4428000735761d0039ed1f72376e4a3730?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA&hhtmFrom=resume_search_result;36
Сбербанк;Аналитик;https://hh.ru/resume/bf4194f300063366810039ed1f6e7364724842?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA&hhtmFrom=resume_search_result;36
Сбербанк;Аналитик;https://hh.ru/resume/eea4af040002530bd70039ed1f444357707a78?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA&hhtmFrom=resume_search_result;36
Сбербанк;Аналитик;https://hh.ru/resume/035c675b00073863bb0039ed1f697349367758?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA&hhtmFrom=resume_search_result;36
Сбербанк;Аналитик;https://hh.ru/resume/8986bd6100073a02e60039ed1f344e314d7358?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA&hhtmFrom=resume_search_result;36
Сбербанк;Руководитель проекта, Руководитель подразделения IT;https://hh.ru/resume/504403a60000015e7c0039ed1f736563726574?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA&hhtmFrom=resume_search_result;36
Сбербанк;Ведущий системный аналитик;https://hh.ru/resume/8ae41b45000413a2cf0039ed1f4875624c7645?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA&hhtmFrom=resume_search_result;36
Сбербанк;Analyst, IT manager, director, CIO, CTO, Project Manager;https://hh.ru/resume/5454803c00009a8aba0039ed1f736563726574?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA&hhtmFrom=resume_search_result;36
Сбербанк;Главный инженер по разработке;https://hh.ru/resume/e14c73b9000386d6e30039ed1f427745587a4f?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA&hhtmFrom=resume_search_result;36
Сбербанк;"Администратор; Специалист; Аналитик";https://hh.ru/resume/a67382350002bf30e50039ed1f704e62735130?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA&hhtmFrom=resume_search_result;36
Сбербанк;Руководитель проектов \ Product Owner;https://hh.ru/resume/9c237dad0004e26d760039ed1f704977445337?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA&hhtmFrom=resume_search_result;36
Сбербанк;Analyst;https://hh.ru/resume/af2d77d40001adf3360039ed1f4a474c557655?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA&hhtmFrom=resume_search_result;36
Сбербанк;Разработчик SQL;https://hh.ru/resume/2db4049d0006f254000039ed1f574d31793172?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA&hhtmFrom=resume_search_result;36
Сбербанк;Программист-аналитик;https://hh.ru/resume/126038cd00057c0b450039ed1f437771355052?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA&hhtmFrom=resume_search_result;36
Сбербанк;Аналитик;https://hh.ru/resume/caf6277000077b92a20039ed1f6f4679314643?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA&hhtmFrom=resume_search_result;36
Сбербанк;Аналитик/главный специалист;https://hh.ru/resume/a8f5893e0004424d6d0039ed1f7958546e7159?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA&hhtmFrom=resume_search_result;36
Сбербанк;Системный аналитик (Data Science);https://hh.ru/resume/4ef125db0001438eb60039ed1f70353835747a?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA&hhtmFrom=resume_search_result;36
Сбербанк;Руководитель IT проектов, Аналитик;https://hh.ru/resume/8ceced670001251de10039ed1f386748654471?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA&hhtmFrom=resume_search_result;36
Тинькофф Банк;Аналитик отдела продаж;https://hh.ru/resume/4b0442690007b87ec00039ed1f635049737a6f?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA&hhtmFrom=resume_search_result;12
Тинькофф Банк;Analyst;https://hh.ru/resume/6f7d41f20002668a7b0039ed1f413072584f39?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA&hhtmFrom=resume_search_result;12
Тинькофф Банк;Аналитик;https://hh.ru/resume/af8b5e5c00031c66f20039ed1f323149454462?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA&hhtmFrom=resume_search_result;12
Тинькофф Банк;Аналитик;https://hh.ru/resume/80676f8a000431ebba0039ed1f584a4a437966?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA&hhtmFrom=resume_search_result;12
Тинькофф Банк;Системный аналитик / sql разработчик;https://hh.ru/resume/7716b65000074223be0039ed1f6e496f6f674b?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA&hhtmFrom=resume_search_result;12
Тинькофф Банк;Аналитик;https://hh.ru/resume/aa918d8600030fc0180039ed1f4a6332644263?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA&hhtmFrom=resume_search_result;12
Тинькофф Банк;Аналитик;https://hh.ru/resume/1a1c29630007bbd09f0039ed1f62566c7a6348?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA&hhtmFrom=resume_search_result;12
Тинькофф Банк;IT-Аналитик / Product Owner;https://hh.ru/resume/4ab69f1a00039fb7710039ed1f6f3870445a33?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA&hhtmFrom=resume_search_result;12
Тинькофф Банк;Аналитик;https://hh.ru/resume/295879da000794e4a10039ed1f31357a326b59?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA&hhtmFrom=resume_search_result;12
Тинькофф Банк;Analyst;https://hh.ru/resume/6f7d41f20002668a7b0039ed1f413072584f39?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA&hhtmFrom=resume_search_result;12
