last_work_place;count
Сбербанк;118
МАГНИТ, Розничная сеть;30
Банк ВТБ (ПАО);29
Тинькофф Банк;25
Альфа-Банк (Россия);19
X5 RETAIL GROUP;19
Мобильные ТелеСистемы (МТС);17
Ростелеком;14
KPMG ;13
PwC;11
Шлюмберже, нефтяная сервисная компания;11
Банк Хоум Кредит;10
EY Russia;10
Национальный исследовательский университет «Высшая школа экономики»;10
Спортмастер Россия;10
МегаФон;10
Газпром нефть, ПАО;9
Газпромбанк, ОАО;9
PROFI.RU;9
Россельхозбанк;9
Московский аэропорт Домодедово;9
Почта России;9
Яндекс.Практикум;8
KPMG (Казахстан);7
Kaspi Bank, АО;7
Deloitte;7
Промсвязьбанк, ПАО;7
Лента, федеральная розничная сеть;7
РОСБАНК;7
OZON.ru, Интернет-магазин;7
EPAM Systems Inc (Беларусь);6
RENAULT;6
Евразийский банк, АО;6
Яндекс;6
Московский Кредитный Банк;6
BI-Group, ТМ;6
ЭР-Телеком Холдинг, ЗАО;5
О’КЕЙ – Федеральная розничная сеть;5
Пепсико Россия;5
O'STIN;5
Объединенные кондитеры;5
Билайн;5
Такском, ООО;5
Галактика;5
Госкорпорация Росатом;5
AIR ASTANA, АО;5
Philip morris international;5
РТ Лабс, ОАО;5
KPMG (Москва);5
Связь-Банк, АКБ;5
ВТБ;5
Mail.Ru Group;5
EPAM Systems Inc. (Россия);5
Финансовая корпорация Открытие;5
ИП;5
СИБУР, Группа компаний;4
PricewaterhouseCoopers (Казахстан);4
АТФБанк, АО;4
Санкт-Петербургский государственный университет;4
Министерство Обороны РФ;4
Raiffeisenbank;4
ПАО Сбербанк России;4
Citibank;4
EY;4
Первый БИТ;4
FIRCROFT ENGINEERING SERVICES LIMITED, KAZAKHSTAN;4
ДИКСИ, группа компаний;4
Procter & Gamble;4
Вайлдберриз, ООО;4
Prime Source, ТОО;4
ПАО Сбербанк;4
InStat;4
Самозанятый;4
NetCracker Technology Corp. (Россия);4
КОРУС Консалтинг;4
Сбербанк России;4
Coca-Cola HBC Russia;4
Российские железные дороги;4
ИНЖИНИРИНГОВАЯ КОМПАНИЯ «АСЭ»;3
Брокеркредитсервис;3
Интроверт;3
Розничная сеть МТС;3
Правительство Москвы;3
Deloitte, Caspian Region;3
"ООО ""Арт-Ти""";3
КБ Стрелка;3
Народный банк Казахстана, АО;3
MAGNUM, ТОО;3
Первая Экспедиционная Компания;3
KPMG;3
Локомотивные технологии, ООО;3
AXELOT;3
Банк Русский Стандарт;3
АО Почта России;3
Слетать.ру;3
Связной;3
Accenture;3
Тенгизшевройл;3
Вооруженные силы РФ;3
БИОКАД, фармацевтическая компания;3
Уральский банк реконструкции и развития;3
РИА Новости;3
БАРС Груп;3
Альфа-Банк (Казахстан);3
Лига Цифровой Экономики;3
Норильский никель, ГМК;3
Группа Компаний РУСАГРО, ООО;3
Телеканал Россия, ГТК;3
Mars;3
SkyEng;3
EY Kazakhstan;3
ЛАБИРИНТ;3
METRO Cash & Carry;3
БАНК УРАЛСИБ;3
БДО;3
Хоум Кредит Банк, АО;3
ООО;3
Beeline, ТМ;3
Tengizchevroil;2
ГрузовичкоФ;2
Центр стратегических оценок и прогнозов;2
Эра, Торговый дом;2
Московский государственный университет им. М.В. Ломоносова;2
John Deere Agricultural Holdings, Inc.;2
NO ONE;2
Ай-Теко (I-Teco);2
ГЛОРИЯ ДЖИНС;2
ГК Регион;2
"АО НК ""КазМунайГаз""";2
Департамент информационных технологий города Москвы ;2
Мария, Мебельная фабрика;2
Московский метрополитен, Государственное унитарное предприятие;2
"ООО ""Вектор-С""";2
Комитет тарифного регулирования Волгоградской области;2
Асбк-софт;2
"АО ""Центр электронных финансов""";2
Центральный банк Российской Федерации;2
"ТОО ""Евразийская Группа""";2
Московская Объединенная Энергетическая Компания;2
Шереметьево, Международный Аэропорт;2
Uchi.ru;2
BearingPoint;2
888.ru;2
Лига Ставок;2
Центральная База Производственного Обслуживания филиал АО «Транснефть – Приволга»;2
KAZ Minerals;2
КонсультантПлюс;2
ВТБ Медицинское страхование;2
Российские железные дороги, ОАО;2
"АО ""Газпром электрогаз""";2
Parma Technology Group;2
Министерство Внутренних Дел Российской Федерации;2
ФИНАМ;2
City Nature (e-commerce);2
"ООО ""Сибирские сети""";2
FM Logistic;2
Частный инвестор;2
CUSTIS;2
SF Education;2
HeadHunter;2
Проектная работа;2
Департамент Информационных Технологий города Москвы;2
Комус;2
Nestle;2
Директ Кредит, ООО;2
Частная практика;2
Букмекерская контора 888.ru;2
МСП Банк;2
Cushman & Wakefield Stiles & Riabokobylko;2
SGS Vostok Limited;2
ООО кросс;2
ВТБ Капитал;2
ТЕХНОСЕРВ;2
Sberbank CIB;2
"АО ""Национальный инфокоммуникационный холдинг ""Зерде""";2
ПитерСофт;2
М.Видео-Эльдорадо;2
Дальневосточный федеральный университет;2
MARMALATO;2
ELMA;2
