title	href	count
Администратор; Специалист; Аналитик	https://hh.ru/resume/a67382350002bf30e50039ed1f704e62735130?hhtmFrom=resume_search_result	53.0
Главный инженер по разработке	https://hh.ru/resume/e14c73b9000386d6e30039ed1f427745587a4f?hhtmFrom=resume_search_result	53.0
Ведущий инженер по тестированию(удаленно)	https://hh.ru/resume/e597d9790001fe61770039ed1f554a68415a68?hhtmFrom=resume_search_result	53.0
Специалист	https://hh.ru/resume/d47a51550002c590550039ed1f43626e494750?hhtmFrom=resume_search_result	53.0
Главный/ведущий инженер IT, Аналитик, Эксперт, Менеджер	https://hh.ru/resume/a6fd12ae0005b27f370039ed1f435948576d32?hhtmFrom=resume_search_result	53.0
Начальник отдела информационных технологий	https://hh.ru/resume/102e7fd200024e3ea70039ed1f6c494273514d?hhtmFrom=resume_search_result	53.0
Программист C#	https://hh.ru/resume/ed99ddae0003152f000039ed1f6637766d4159?hhtmFrom=resume_search_result	53.0
Инженер	https://hh.ru/resume/f13b596c00074405520039ed1f37776c45504d?hhtmFrom=resume_search_result	53.0
Специалист по информационной безопасности	https://hh.ru/resume/4c8d49fc0002c19e9c0039ed1f454136436f4a?hhtmFrom=resume_search_result	53.0
Product Owner	https://hh.ru/resume/5594b42b0000e3cef50039ed1f443057527a4b?hhtmFrom=resume_search_result	53.0
Data Engineer (hadoop) / Developer	https://hh.ru/resume/85cb72080003e545f50039ed1f49657848454e?hhtmFrom=resume_search_result	53.0
Эксперт-разработчик ABAP (Freelance, удаленная разработка)	https://hh.ru/resume/53582944000118df690039ed1f5961345a7062?hhtmFrom=resume_search_result	53.0
Руководитель проекта	https://hh.ru/resume/d72e80640004cd82830039ed1f7461517a5655?hhtmFrom=resume_search_result	53.0
product owner/manager	https://hh.ru/resume/d783a9400000b236b50039ed1f736563726574?hhtmFrom=resume_search_result	53.0
Менеджер по оптимизации/автоматизации бизнес-процессов	https://hh.ru/resume/f7c843320007f051350039ed1f416a6464796a?hhtmFrom=resume_search_result	53.0
Руководитель проекта	https://hh.ru/resume/332e65fa0002abf80a0039ed1f7546636d4f45?hhtmFrom=resume_search_result	53.0
Руководитель IT-отдела, IT CTO, CIO	https://hh.ru/resume/3dd0b4720007c579eb0039ed1f7341456b7541?hhtmFrom=resume_search_result	53.0
Devops-инженер	https://hh.ru/resume/ab8da0aa00074e0aa50039ed1f31784776474f?hhtmFrom=resume_search_result	53.0
Product designer	https://hh.ru/resume/c2e54cf8000233adb20039ed1f4c526b526358?hhtmFrom=resume_search_result	53.0
Junior Java Developer	https://hh.ru/resume/2cb2d88000031f281b0039ed1f5a6b6f4e7353?hhtmFrom=resume_search_result	53.0
IT Директор медицинского стартапа	https://hh.ru/resume/579e79530002c123970039ed1f734958756b30?hhtmFrom=resume_search_result	53.0
Head of Business Applications (Bank)	https://hh.ru/resume/890dda580007af9e590039ed1f6c726c685444?hhtmFrom=resume_search_result	53.0
Системный аналитик	https://hh.ru/resume/152e3bfe0007ffda950039ed1f57753532734e?hhtmFrom=resume_search_result	53.0
Программист	https://hh.ru/resume/ec2828ec000363bc200039ed1f567577554443?hhtmFrom=resume_search_result	53.0
Системный аналитик (Data Science)	https://hh.ru/resume/4ef125db0001438eb60039ed1f70353835747a?hhtmFrom=resume_search_result	53.0
Программист Python	https://hh.ru/resume/3b866ce60006398da00039ed1f6d6f67386244?hhtmFrom=resume_search_result	53.0
Системный инженер	https://hh.ru/resume/8f3698ea000206f3770039ed1f64414f655035?hhtmFrom=resume_search_result	53.0
Data analyst	https://hh.ru/resume/7d4cc59c000402ad780039ed1f5263734d6f72?hhtmFrom=resume_search_result	53.0
Аналитик/главный специалист	https://hh.ru/resume/a8f5893e0004424d6d0039ed1f7958546e7159?hhtmFrom=resume_search_result	53.0
Аналитик SQL	https://hh.ru/resume/22d39b990007996a9c0039ed1f457779786a70?hhtmFrom=resume_search_result	53.0
Руководитель проектов	https://hh.ru/resume/49a998750001d1a0d00039ed1f65614a716f74?hhtmFrom=resume_search_result	53.0
Программист-аналитик	https://hh.ru/resume/126038cd00057c0b450039ed1f437771355052?hhtmFrom=resume_search_result	53.0
Владелец продукта 	https://hh.ru/resume/199827d200078e79d90039ed1f53547965684b?hhtmFrom=resume_search_result	53.0
Head of Department / Frontend Team Lead / Project manager / Scrum Master	https://hh.ru/resume/b7cdd9e40001878b1c0039ed1f424742596c4f?hhtmFrom=resume_search_result	53.0
